Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
daili;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;4;4;2;0;1;0;1;4;2;0;4;3;1;1;1;0;4;2;3;1;1;1;1;1;0;1;1;0;0;1;0;2;3;3;4
resourc;0;0;0;0;0;0;0;0;0;1;1;1;0;2;2;1;1;1;2;4;2;2;2;2;2;1;0;1;1;0;1;0;2;2;3;0;0;2;2;0;4;1;2;4;0;2;1;1;2;0;3;0;0;2;0;0;1
longitudin;0;0;1;1;0;0;0;1;0;0;0;1;0;0;1;0;2;0;2;1;1;2;1;0;0;0;1;1;2;0;2;1;2;1;2;1;0;3;1;0;1;0;1;0;2;2;1;1;1;1;0;2;2;4;8;4;2
extern;3;0;2;6;0;2;2;1;2;11;4;6;0;1;3;2;1;1;2;2;2;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0
problem;1;1;1;0;1;0;0;0;1;2;1;0;1;3;2;3;4;1;3;0;0;2;2;5;1;2;2;3;0;1;1;0;1;0;3;0;1;1;2;0;1;1;1;1;0;0;0;1;2;0;0;0;0;1;1;1;1
complex;2;6;5;2;1;2;3;2;1;0;3;2;0;0;0;0;1;2;3;1;1;3;3;1;5;0;2;2;1;0;2;0;0;1;0;0;0;0;1;0;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0
investig;0;1;0;2;0;1;0;4;2;1;0;2;0;0;0;2;3;2;1;1;2;5;5;2;1;0;0;2;2;0;1;2;1;2;0;0;1;0;2;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;2;3;2
futur;0;0;3;2;1;1;3;1;1;0;1;2;0;0;0;1;1;2;1;0;2;2;2;0;0;2;1;3;0;1;1;0;0;2;1;2;4;2;2;0;0;0;0;2;0;1;2;1;1;1;0;0;0;2;4;1;0
regul;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;1;2;1;0;2;2;3;1;1;7;0;7;3;1;4;1;1;1;0;3;4;0;3;0;0;0;2;1;0;4;1;0;0
view;1;0;0;0;0;0;0;3;2;0;4;1;0;1;3;1;2;1;3;1;1;3;1;0;0;1;1;0;2;0;3;0;3;1;1;2;1;1;3;1;0;1;0;1;3;0;1;0;0;0;3;2;0;2;0;0;0
represent;0;1;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;1;2;0;0;1;2;2;1;1;3;3;5;1;3;2;0;2;2;3;1;0;1;3;2;1;0;0;4;0;0;0;2;0;0;1;2;1
stimuli;3;4;3;4;1;0;2;1;1;5;3;2;2;4;0;3;1;1;1;0;2;0;3;1;1;2;0;2;1;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0
year;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;2;2;2;3;2;2;1;2;1;2;2;1;1;1;1;2;0;2;1;1;2;0;2;0;0;1;0;4;1;0;1;1;0;5;3;3;3;0
categori;6;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;3;0;3;1;2;1;3;4;2;5;1;0;2;3;0;0;1;1;1;2;0;2;0;1;0;3;1;0;1;0;1;0;1;1;0;0;0;1;0;0;4
disson;8;3;4;4;4;3;2;3;3;4;2;2;0;2;0;0;1;0;2;0;0;2;0;0;1;0;0;0;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0
link;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;2;1;2;1;2;1;0;1;3;0;0;1;1;2;2;1;1;2;0;1;2;1;1;3;0;3;1;2;2;3;1;1;3;0;1;2;2;3;2
enhanc;0;0;0;0;1;0;2;0;1;1;3;5;0;3;1;0;0;0;0;0;1;2;2;0;3;0;4;0;2;1;1;3;0;0;2;0;0;1;2;1;0;0;0;1;0;0;1;2;2;1;2;0;2;2;3;1;1
risk;1;1;0;2;4;0;7;1;2;1;1;0;0;0;0;0;0;1;1;1;1;1;2;2;1;0;0;3;0;0;1;0;2;4;0;0;1;0;0;0;0;1;0;1;0;1;2;1;2;2;1;0;2;0;3;2;1
marit;0;0;0;0;0;0;0;2;0;0;1;1;1;0;1;2;3;1;1;0;1;3;4;1;1;3;1;3;3;2;2;1;6;0;0;1;4;0;3;0;2;0;0;1;0;0;2;0;1;2;0;0;0;0;0;0;0
benefit;0;0;0;0;0;0;1;0;1;0;1;0;0;1;0;1;0;1;0;0;0;2;1;1;1;0;1;1;0;0;1;1;0;2;0;0;2;3;1;2;1;2;2;0;3;1;4;2;2;2;1;1;5;4;1;4;0
access;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;2;1;4;0;2;0;2;1;3;1;1;3;2;5;4;2;3;3;1;0;0;3;1;2;1;2;0;1;0;0;0;0;0;0;0;0;1;0
categor;1;1;0;0;0;0;0;0;2;0;2;1;0;1;0;0;1;0;2;1;0;0;1;1;0;1;0;1;1;1;2;2;3;6;1;2;1;2;0;1;3;0;1;2;0;1;3;1;2;1;1;1;0;0;1;3;1
dynam;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;3;0;0;1;0;2;1;1;1;0;4;1;0;1;0;2;1;5;1;1;1;2;3;2;1;2;4;1;1;2;1;1;2;2;0;1;0;1;0;0;3
languag;1;2;1;1;0;0;1;0;2;0;1;0;0;0;0;0;0;1;0;1;3;1;0;1;2;2;0;0;0;0;1;0;3;0;6;0;0;1;3;3;1;0;1;0;0;2;0;0;0;2;1;0;0;2;5;8;0
sex role;1;0;1;1;0;1;0;2;1;0;3;1;0;3;5;4;3;4;7;5;4;6;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
self report;0;0;0;1;0;0;1;0;0;0;1;0;0;0;1;1;1;3;2;1;3;4;0;4;3;1;2;4;2;0;1;0;1;3;1;2;0;2;1;2;1;1;2;2;0;0;1;0;1;0;0;0;0;2;0;0;0
fear;3;3;2;3;2;2;0;1;3;1;1;4;0;2;2;2;1;1;3;1;3;2;1;0;0;2;0;0;0;0;0;0;1;0;1;2;1;0;1;0;0;1;0;0;0;2;0;0;2;1;0;0;1;0;0;0;0
victim;0;1;1;0;0;1;4;5;4;2;3;3;1;2;2;0;2;1;0;2;0;1;0;0;1;3;0;1;1;0;1;0;0;1;1;1;1;1;1;0;0;1;0;2;0;1;0;0;0;0;0;1;0;0;2;1;2
anger;0;0;1;0;2;0;2;1;0;1;1;0;0;0;0;1;1;0;0;1;2;1;0;1;3;1;0;3;3;1;0;2;0;5;2;0;4;1;0;4;0;1;1;2;0;1;3;1;2;0;1;0;0;1;1;0;0
apprais;0;0;1;0;0;0;0;0;0;1;2;2;0;0;0;1;0;1;1;2;1;2;3;0;6;2;0;3;4;2;2;0;3;4;0;1;3;2;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;3;0;0;1
effort;1;1;0;1;0;1;0;1;2;0;0;2;2;1;0;3;2;0;2;1;3;1;0;1;0;1;0;0;2;1;0;0;1;0;0;1;0;1;0;0;1;1;2;2;5;0;0;1;2;2;2;1;0;1;3;3;0
life event;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;1;2;0;1;4;2;1;5;4;2;0;0;5;1;0;4;5;3;0;0;1;0;0;0;0;0;0;0;1;0;3;1;0;0;1;0;0;1;1;3;1
target;1;1;1;0;0;0;0;1;1;2;2;2;0;2;0;1;1;1;0;2;4;1;0;0;2;0;0;0;2;3;2;1;4;1;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0;1;1;2;2;0
negoti;0;0;0;0;0;2;2;1;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;1;0;1;1;0;0;2;1;2;0;2;1;3;2;1;0;2;1;5;6;1;0;4;3;0;3;0;1;0;0;1;0;1;0
content;2;1;1;1;1;1;1;0;2;1;2;1;1;0;1;2;1;0;0;0;4;2;1;1;1;3;0;1;2;0;1;2;1;3;1;0;0;3;1;2;3;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0
recal;3;3;2;1;2;0;1;1;0;2;0;0;0;0;2;2;3;2;5;1;5;3;2;0;1;4;2;2;1;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
involv;1;2;1;2;2;2;3;1;2;1;4;2;1;1;1;1;1;1;2;2;2;2;4;1;0;2;1;1;1;0;2;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0
guilt;0;2;2;2;2;0;2;3;0;0;1;2;0;2;0;1;1;2;1;0;1;0;2;0;0;1;0;2;1;1;0;2;0;1;1;0;0;1;0;0;1;3;1;2;1;1;3;2;0;3;0;1;0;1;1;0;0
replic;4;3;3;0;0;0;1;3;1;0;0;1;0;0;1;0;0;0;1;3;1;0;0;0;0;1;0;1;0;0;1;2;0;0;2;1;0;0;1;0;0;0;0;0;0;2;1;1;0;0;1;3;4;5;3;3;2
seek;3;1;2;1;0;0;0;3;0;0;2;0;0;0;0;0;0;3;4;2;1;1;1;1;0;0;2;3;1;3;1;0;1;3;0;1;0;1;3;1;0;0;0;0;2;1;1;3;0;1;0;0;0;2;0;1;0
american;4;1;2;0;0;4;1;1;2;2;2;0;1;0;0;2;1;0;0;0;3;0;2;1;0;1;0;1;1;2;2;0;0;0;0;0;1;1;1;0;3;1;2;3;1;0;1;1;1;0;1;1;1;0;0;0;1
rel;1;0;3;0;2;0;3;0;1;4;2;1;0;1;1;1;1;3;3;1;1;2;0;0;1;1;0;0;0;2;0;0;0;1;1;2;1;0;0;0;1;2;1;1;0;3;1;0;0;3;0;1;0;2;0;1;0
multipl;1;0;0;0;0;0;1;0;0;1;1;0;0;0;2;1;1;0;1;2;1;4;3;0;2;2;2;3;0;4;1;0;0;2;2;0;1;0;0;1;1;3;1;0;1;1;2;0;1;1;1;0;0;1;1;2;1
impress format;4;2;2;3;3;2;4;2;1;6;2;1;0;0;2;2;1;1;1;1;0;3;1;0;0;0;0;1;1;0;0;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
close relationship;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;3;0;1;1;0;1;3;0;3;2;1;4;4;4;2;1;5;3;0;0;2;1;1;1;2;1;1;1;1;0;2;1;0;0;0;0;1
good;0;0;0;0;2;0;1;2;1;0;1;1;1;0;0;1;2;1;0;0;0;2;0;1;2;0;1;1;0;1;1;0;0;2;2;1;1;2;1;2;1;2;0;0;1;1;1;1;3;0;0;1;2;2;4;0;3
intent;2;1;0;1;1;2;1;3;4;1;2;0;0;0;1;0;2;0;2;0;1;1;1;0;0;0;1;0;1;0;0;0;2;1;0;0;1;1;1;0;1;2;1;0;1;1;1;1;0;0;3;2;0;4;2;1;1
format;1;1;1;1;1;0;1;1;1;1;2;4;1;1;0;3;1;1;1;1;4;1;0;2;1;1;0;2;0;0;3;1;1;3;0;0;1;1;1;2;0;0;0;0;3;1;0;0;1;0;0;0;0;1;0;0;1
stimulu;3;3;3;2;1;2;2;6;3;1;4;5;2;1;3;3;0;1;0;1;0;1;0;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0
public;0;0;1;0;1;1;0;1;0;1;3;1;1;0;2;4;3;3;1;1;2;3;1;1;3;1;1;1;1;2;1;0;0;2;1;1;0;2;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;1;1;1;1
promot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;1;0;4;1;1;0;1;0;2;2;4;1;4;2;3;5;3;3;0;4;4;3;2
causal attribut;0;0;0;0;0;1;0;1;1;0;6;7;1;3;4;5;2;3;3;2;2;2;3;1;1;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
tempor;0;0;0;0;0;1;2;1;2;2;0;2;0;1;0;1;1;3;0;2;3;1;0;1;1;1;0;0;2;1;0;1;1;4;0;4;1;1;2;2;0;1;0;0;0;1;0;1;3;0;1;2;0;1;0;0;0
case;2;0;0;0;0;0;2;0;0;0;1;1;1;1;2;2;0;1;0;1;3;1;1;0;1;2;2;1;2;2;1;5;0;1;1;0;1;1;0;0;2;1;1;0;2;0;2;0;0;0;4;0;1;0;0;0;2
intern;3;1;1;4;0;1;1;0;2;7;2;0;0;0;2;1;3;1;1;1;3;0;0;1;3;0;1;1;1;0;0;2;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;3;0;1;1;0;0;1;1;0
ego;3;4;0;1;3;1;3;1;2;1;0;1;1;1;0;2;1;1;2;4;1;1;1;0;2;0;3;2;2;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;2;0;1;0;0
social judgment;0;0;0;1;0;0;1;0;1;2;1;0;1;0;1;1;0;0;1;3;3;2;1;6;0;2;1;2;1;2;3;2;0;2;0;1;0;1;0;1;1;1;1;2;1;0;1;0;0;0;0;1;0;1;1;0;0
sensit;0;0;0;2;2;0;1;1;1;1;0;1;0;0;0;0;0;1;1;2;3;1;1;1;1;1;0;1;0;0;2;1;2;3;1;2;1;2;0;1;0;0;0;1;2;0;0;5;0;1;1;1;0;3;0;0;2
famili;0;2;2;4;1;0;0;0;1;2;2;0;1;0;0;1;2;2;0;0;4;5;1;0;0;1;0;0;1;0;0;0;0;1;1;2;1;0;0;1;2;0;0;2;0;0;2;1;1;1;0;0;0;2;1;3;0
qualiti;1;1;2;1;1;0;0;0;1;2;0;0;0;0;0;1;1;2;0;1;2;5;1;1;0;1;2;0;0;0;1;0;1;2;1;3;2;0;1;0;1;4;0;0;1;3;3;0;0;0;0;1;2;0;0;1;0
descript;3;1;2;2;0;5;0;1;1;1;2;2;0;1;3;2;2;0;1;1;2;1;0;0;1;1;0;0;0;1;3;1;0;1;2;0;1;0;1;3;0;0;0;0;0;1;1;0;1;0;0;0;0;1;0;1;0
caus;0;0;0;0;0;0;1;0;1;0;3;0;0;3;5;0;4;3;0;4;1;0;1;2;1;2;0;0;0;1;1;1;0;2;1;0;1;1;0;2;0;0;0;0;0;0;0;0;1;1;2;2;1;2;3;0;0
trust;0;1;0;2;0;1;0;0;3;1;2;0;0;1;2;1;0;2;1;0;1;0;0;0;0;1;0;1;0;0;1;0;1;2;1;0;1;0;0;1;3;0;0;0;2;2;3;1;2;2;0;1;3;1;1;1;3
childhood;0;1;2;0;0;0;0;1;0;0;0;1;0;0;0;2;1;0;4;1;0;1;0;1;0;1;1;0;1;0;1;0;1;2;3;2;1;2;0;1;1;1;0;1;0;1;1;1;2;2;2;1;1;2;2;2;1
comment;1;1;0;3;0;0;2;1;1;2;4;2;0;2;1;2;1;2;6;2;1;2;0;1;0;0;0;2;0;0;2;2;5;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0
facial;0;1;0;0;0;0;0;1;1;0;0;0;1;0;2;2;5;2;3;1;0;4;2;3;0;2;1;1;0;1;0;1;2;0;1;1;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;3;4;0;0;0
locu of control;0;0;3;0;0;0;2;4;2;2;3;2;1;1;2;2;3;4;4;2;3;2;0;4;1;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
identif;5;0;2;1;1;1;2;1;1;0;1;0;0;0;2;0;0;1;1;0;2;1;0;1;2;0;1;0;0;2;2;0;0;2;1;1;0;2;1;0;0;3;1;4;1;1;1;1;0;0;0;0;0;0;1;0;1
interest;0;0;0;1;0;2;0;1;2;0;1;1;1;0;0;2;2;4;0;2;0;3;1;0;1;0;0;2;0;0;1;1;4;1;0;1;0;0;3;0;0;1;0;1;0;2;1;0;1;1;1;0;1;0;1;3;1
male;3;1;1;0;0;0;0;1;0;1;3;4;4;1;0;4;2;2;3;2;0;0;0;1;0;2;0;2;0;1;1;1;1;1;0;1;0;1;2;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0;0;0
relev;1;0;0;2;0;4;1;0;0;1;1;1;1;1;2;0;1;2;1;0;0;2;1;1;1;2;0;1;1;1;2;2;1;0;1;1;0;2;1;1;1;1;2;0;1;0;0;0;0;0;1;0;1;1;1;0;2
compon;0;0;0;0;1;0;1;0;1;1;2;1;1;0;2;1;1;2;1;4;2;1;3;3;3;3;1;1;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;0;0;1;0;1;0;0;1;0;1;0;0;0
prior;1;3;2;5;1;5;3;2;0;3;2;2;2;0;2;2;3;2;0;1;0;1;1;0;0;1;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
share;0;0;0;0;1;0;0;0;0;2;1;1;0;0;1;1;1;0;1;0;0;1;1;2;0;0;2;1;1;1;1;0;1;1;2;1;0;0;2;1;1;0;2;0;3;3;0;1;1;0;1;2;2;0;3;3;1
explor;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;3;1;1;1;0;1;2;0;0;1;1;1;2;1;1;2;1;1;2;2;1;3;0;3;3;2;0;0;1;1;0;1;2;0;1;2;0
desir;2;1;1;0;1;1;0;0;0;1;1;0;0;0;0;0;0;1;0;2;2;0;2;0;1;0;1;0;2;1;1;0;2;1;0;1;1;1;1;0;1;0;2;2;0;1;0;1;0;0;1;8;0;2;2;0;2
mind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;0;2;2;0;0;0;1;0;1;0;0;0;2;2;1;4;1;1;3;1;4;2;1;4;3;2;1;1;1;2;2;1;1;0
self control;0;0;0;0;0;0;1;0;2;1;1;2;0;0;0;0;1;1;1;1;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;0;0;5;2;1;1;1;2;2;0;1;4;0;2;5;4;0;0
pain;1;0;1;2;1;1;3;1;2;3;1;2;0;1;1;1;1;1;1;1;1;1;1;2;0;2;1;1;1;1;0;0;0;1;1;1;0;0;0;1;0;3;1;1;0;0;2;0;0;0;0;0;0;1;1;0;0
agreement;0;2;2;2;2;2;2;2;0;5;0;0;2;0;1;0;1;1;1;0;1;0;1;1;2;0;0;0;0;0;1;1;2;2;0;2;0;0;0;0;0;1;1;0;1;1;2;0;1;0;0;0;0;2;2;0;0
salienc;0;0;0;0;1;3;0;2;2;1;2;1;1;2;4;1;0;2;3;1;2;1;0;0;0;1;0;0;1;2;0;0;1;3;1;1;1;2;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;1;1;1
sampl;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;1;2;3;0;0;2;1;0;1;1;1;1;3;0;1;1;1;2;0;1;1;0;0;2;0;1;2;1;4;1;0;0;0;1;1;2;2;2;1
mechan;0;0;1;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;3;2;2;0;0;1;1;1;1;2;1;3;4;2;1;2;0;0;2;4;2;0;0;0;1;0;2;1;0;1;2;0
big five;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;1;1;1;2;1;1;0;1;1;1;1;1;1;3;3;4;0;4;2;1;1;0;1;4;0;2;2;1
intellig;2;0;1;3;1;0;2;1;0;1;2;0;0;0;0;0;1;0;0;1;4;0;2;0;0;0;0;0;2;1;0;0;1;2;0;0;0;3;2;6;0;1;1;0;0;0;0;4;0;1;1;0;0;0;0;1;1
genet;1;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;0;2;0;2;1;2;3;3;0;3;2;2;1;2;2;3;0;1;0;0;2;1;1;0;1;3;0;0;1;2;0
black;0;0;0;0;0;2;0;5;6;2;2;1;0;0;0;1;0;1;0;3;0;0;0;1;0;0;0;0;1;0;0;3;1;0;2;0;0;0;0;1;0;1;0;0;2;1;1;0;0;1;0;1;1;1;1;3;3
reason;1;0;0;0;1;0;1;0;1;1;0;1;0;1;2;0;0;1;2;3;1;1;1;2;3;2;0;2;1;2;2;1;0;2;1;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1
bargain;0;4;4;2;1;0;4;1;0;4;5;4;0;1;1;1;3;0;1;2;0;2;0;1;0;0;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0
reciproc;0;1;1;2;2;1;0;0;1;1;4;2;0;1;1;2;1;1;2;0;0;5;2;0;1;0;0;3;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;1;0;2;1;0;2
resist;1;1;0;4;2;2;0;2;1;0;1;2;1;0;1;1;0;1;1;0;1;1;1;1;1;2;0;1;1;0;1;1;0;0;0;0;0;3;0;1;0;2;0;1;0;0;2;1;1;0;1;0;0;2;0;2;0
regulatori;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;2;1;0;1;0;1;1;1;0;1;2;0;2;3;2;2;1;3;3;5;5;3;0;2;0;1;1;0;0;1;0
earli;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;2;0;2;0;1;1;0;0;0;2;0;0;1;1;1;3;2;1;1;1;1;2;0;1;0;1;2;2;0;3;0;4;0;2;2;1;2;0
look;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;2;1;1;1;1;0;1;2;1;0;1;0;2;2;0;1;0;2;1;0;1;0;3;2;1;0;2;0;1;0;1;1;4;1;2;0;1
report;2;0;1;4;0;0;0;1;1;1;0;0;3;1;1;1;3;0;1;3;1;0;0;0;2;1;0;1;1;0;2;1;0;1;2;0;0;2;0;1;0;0;0;1;1;0;1;1;0;0;0;0;1;2;1;1;0
adulthood;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;2;0;0;0;0;1;0;1;0;1;0;1;0;0;1;1;0;1;3;4;3;1;2;1;0;0;1;2;1;0;3;2;3;1;4;1;2;1;0
compar;2;0;2;0;0;1;0;0;1;2;0;4;0;3;0;0;0;3;1;1;2;0;2;0;0;0;0;1;1;0;1;0;1;1;4;1;1;1;1;0;1;1;2;1;2;0;0;0;0;0;1;1;0;0;0;1;0
mental;3;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;1;1;3;0;0;0;1;1;2;1;0;5;3;0;2;1;0;4;1;1;2;2;1;0;1;3;0;0;1;1;0;2;0;0;0
messag;2;1;1;2;0;0;1;1;0;1;0;2;0;0;3;1;3;0;2;1;0;2;1;1;0;2;0;1;1;1;2;1;1;0;1;0;0;1;1;0;0;1;1;2;2;0;0;0;0;1;0;0;0;1;0;2;0
prime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;2;2;0;0;0;1;2;1;1;2;0;1;3;1;3;2;2;0;3;3;2;1;5;0;1;3;1;1;0;0;0;0;0;0;1
know;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;2;0;2;0;0;2;1;3;1;0;0;2;1;1;5;1;3;0;5;0;4;1;0;0;0;1;1;0;2;1;4;0
transit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;3;1;2;0;1;0;1;0;0;0;0;1;0;0;0;2;1;2;0;0;0;1;0;2;1;3;0;2;1;2;1;1;3;6;3;2
construal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;1;1;1;3;2;1;3;2;2;3;1;4;2;1;0;2;3;0;1;1;2;1;1;1;0;1;2;0
white;2;1;1;1;0;1;1;1;6;2;0;0;1;0;0;1;0;1;1;3;2;0;0;0;0;0;0;1;1;0;1;2;0;0;1;0;0;0;0;0;2;1;0;0;3;0;1;2;0;0;0;0;0;1;1;4;0
femal;2;0;1;0;0;0;0;0;1;1;4;4;0;1;1;1;2;2;5;1;2;1;0;1;0;1;0;0;1;0;3;1;0;2;0;0;0;1;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0
conting;1;0;0;1;1;0;1;1;0;1;0;4;0;0;2;1;0;0;1;1;5;0;1;0;1;1;0;0;0;1;1;1;0;0;0;1;0;1;3;2;0;0;0;4;3;2;1;1;0;0;1;0;0;0;1;0;0
adapt;2;0;0;1;1;0;1;0;0;0;2;0;0;0;0;1;1;2;2;2;1;0;2;1;1;1;1;1;1;0;0;0;2;1;1;2;0;1;1;0;1;1;0;0;1;1;2;1;1;0;3;0;0;1;1;1;0
distanc;2;0;0;2;0;2;0;0;4;0;2;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;1;2;0;1;0;0;0;1;1;1;2;6;0;1;3;3;1;3;1;0;0;0;0
happi;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;1;0;2;1;1;0;1;2;1;1;1;1;3;1;2;2;2;3;1;2;1;2;0;1;2;2;0;1;0;0;0;0;0;2;1;1
social psycholog;0;0;0;2;1;0;0;0;4;1;0;1;0;3;1;1;0;2;2;4;0;2;5;0;0;0;0;2;0;1;3;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;2;1;1
self present;1;0;0;0;1;0;2;1;0;0;1;0;0;1;1;2;3;3;2;2;0;4;1;0;1;3;0;2;1;1;1;0;0;0;0;1;0;0;2;1;2;0;0;0;2;0;1;0;0;0;0;0;0;1;1;0;0
interperson attract;0;3;0;1;0;1;6;4;5;1;6;3;1;0;5;0;0;0;1;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
learn helpless;0;0;0;0;0;0;0;0;1;1;3;3;2;6;1;5;4;3;3;2;3;3;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
object;4;0;0;1;2;1;0;2;1;0;1;0;1;1;1;4;0;1;3;4;2;1;1;0;1;0;0;1;1;0;1;1;1;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0
complianc;1;3;3;1;2;2;0;1;2;4;5;3;0;2;0;0;1;3;0;0;0;1;2;0;1;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0
decept;0;1;3;0;0;4;0;1;0;5;0;0;1;0;2;1;2;1;3;7;9;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
nation;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;2;0;1;0;0;0;0;1;1;0;2;0;0;1;0;1;2;2;2;2;2;4;1;1;2;1;1;1;0;1;0;3;1;3;0
