Forma grafica;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
evid;2;1;1;0;0;1;0;1;2;1;1;4;1;5;1;3;4;3;5;4;6;6;5;2;7;5;6;10;4;2;5;4;10;9;6;7;7;5;3;4;6;7;5;4;5;1;8;1;5;5;3;2;1;4;6;3;3
studi;9;7;8;5;2;6;3;1;6;4;5;3;3;3;3;8;4;5;7;5;9;6;6;6;5;2;1;4;6;3;3;7;3;4;0;2;5;1;2;5;4;2;2;1;4;1;1;3;1;4;2;1;2;3;5;9;0
stress;4;3;4;4;2;4;4;6;3;5;8;3;2;1;3;3;6;3;6;10;10;6;11;7;5;5;8;7;4;8;6;5;5;8;4;3;0;1;2;0;2;1;2;2;4;1;2;0;2;2;3;1;0;3;0;1;2
cultur;1;2;0;2;0;0;5;0;1;1;4;1;0;1;0;1;1;1;1;7;3;5;0;1;4;4;0;3;1;1;6;10;7;7;3;7;4;6;7;6;7;4;9;12;12;7;7;4;3;4;7;7;1;8;3;4;2
aggress;9;8;7;3;7;5;7;11;9;10;16;8;4;6;4;4;4;4;2;2;4;7;4;2;2;3;0;2;1;1;4;1;4;3;3;6;5;1;4;0;5;1;0;0;2;2;2;4;0;2;0;4;3;1;1;1;0
stereotyp;0;1;2;0;0;0;1;1;2;0;1;1;2;4;1;2;3;2;3;2;5;2;9;3;3;3;2;5;2;7;8;8;9;11;10;9;10;9;9;5;6;9;5;1;3;5;0;6;3;3;5;2;2;2;2;3;0
expect;12;9;9;2;7;6;3;3;7;12;12;4;1;2;8;1;2;3;6;1;5;8;5;3;6;4;5;6;10;0;2;2;4;4;2;0;6;1;3;4;2;2;1;2;1;3;0;0;2;1;1;0;2;0;1;1;2
percept;4;4;1;5;1;1;5;4;7;2;6;6;0;4;2;5;4;2;5;0;8;4;5;1;3;11;3;4;2;3;4;3;3;4;5;5;3;2;4;2;2;5;3;5;5;4;9;1;2;3;2;2;0;8;4;5;4
children;11;6;11;8;1;4;6;4;16;10;14;8;2;2;6;5;6;9;4;3;7;7;5;2;2;4;0;4;5;1;5;2;1;4;0;0;1;0;1;1;2;2;1;1;2;0;1;1;0;3;0;1;0;1;2;2;0
psycholog;1;4;2;0;3;1;2;2;0;4;6;1;2;1;8;5;1;1;4;4;10;3;4;5;5;6;3;2;2;6;4;3;8;1;4;4;4;3;3;4;4;3;1;2;4;8;4;3;5;5;4;5;2;6;4;4;4
structur;3;10;8;4;2;2;4;5;5;0;3;5;1;1;1;5;3;6;4;7;3;5;6;7;6;3;5;3;5;3;6;4;4;8;8;3;3;3;5;2;2;3;2;1;4;0;1;0;2;1;1;0;1;1;6;3;3
experi;5;2;11;2;4;7;5;3;2;6;1;1;2;0;4;1;6;4;6;3;7;5;3;5;4;0;4;3;3;2;4;4;2;9;0;0;2;4;2;2;5;2;1;5;4;1;3;5;2;4;7;2;8;3;2;2;4
control;4;3;3;3;0;4;3;3;4;7;7;2;5;6;2;4;4;2;3;6;10;3;6;5;7;2;0;3;5;5;3;4;1;6;4;2;2;1;3;4;3;4;0;4;5;3;6;2;2;3;3;0;0;5;2;4;1
trait;1;2;1;0;2;1;3;3;2;1;1;1;2;3;2;2;4;2;4;4;4;12;5;6;3;10;5;7;5;4;9;5;7;4;8;3;3;4;3;2;2;3;2;2;3;3;3;5;2;2;3;2;1;4;3;3;3
individu;2;4;1;2;3;1;1;2;2;1;7;4;2;3;0;5;5;5;2;8;7;6;5;5;3;5;2;1;5;3;6;4;10;5;5;2;5;3;8;2;3;2;1;4;1;0;4;3;3;3;3;3;2;2;3;3;2
differ;4;4;4;3;3;4;0;0;6;1;7;6;0;0;3;4;2;3;5;3;6;9;7;2;4;5;4;3;3;1;2;0;5;3;2;0;5;4;2;4;6;7;4;1;7;3;3;6;4;1;0;1;3;5;3;2;3
measur;4;2;5;2;0;2;1;3;5;3;2;2;0;1;2;4;3;9;5;9;7;5;5;10;3;4;6;3;5;4;5;8;4;4;2;4;2;4;5;2;4;3;1;1;1;0;4;4;1;0;1;1;0;4;4;4;2
commun;14;9;7;6;6;7;2;9;3;6;7;4;4;1;3;7;2;4;4;2;2;3;1;0;0;2;3;2;2;3;1;2;1;2;3;3;3;0;6;1;1;1;3;3;2;0;4;2;3;2;3;0;1;2;5;2;1
posit;6;3;5;2;0;1;2;2;0;3;5;2;0;1;2;2;0;3;4;1;4;5;2;4;3;1;3;2;3;7;7;8;4;4;0;5;4;4;5;3;2;5;2;6;1;5;5;4;2;1;3;1;2;5;4;3;6
goal;2;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;2;0;2;2;3;1;3;2;3;5;2;3;4;4;3;7;5;7;3;2;11;3;8;5;5;6;4;9;6;8;8;5;4;1;3;3;4;4;7;2;3
mood;1;0;0;0;0;0;0;0;0;2;2;2;0;1;3;2;6;4;5;5;7;0;11;8;7;5;4;8;8;10;8;10;3;12;3;7;1;6;2;1;1;0;3;6;3;5;2;1;0;0;0;1;1;0;0;0;0
approach;0;0;2;1;2;1;1;1;4;3;1;5;0;2;5;3;3;4;2;3;2;5;6;4;3;3;2;1;3;3;3;3;3;5;3;5;1;6;2;2;3;4;1;5;1;7;4;2;8;4;2;2;2;3;5;7;5
valu;0;2;2;6;3;3;5;2;5;2;7;3;1;3;1;2;2;4;2;4;4;5;5;7;3;2;0;2;0;2;6;4;3;4;2;0;1;1;5;0;1;6;5;3;9;0;1;6;2;5;4;3;1;2;1;1;2
depress;0;1;0;0;0;0;0;1;1;0;0;2;2;1;1;1;3;6;7;7;20;10;15;7;6;8;12;7;3;7;7;4;1;10;2;1;0;0;1;0;1;0;0;2;1;0;2;0;0;1;0;2;0;1;1;0;1
peopl;0;0;0;0;0;2;0;1;0;0;4;0;3;0;1;1;4;0;3;0;0;3;5;2;3;1;2;5;2;5;2;4;3;3;3;2;5;3;3;2;2;1;4;7;2;6;6;2;4;5;4;3;8;8;10;11;6
reaction;9;4;5;3;2;4;3;10;5;5;10;5;2;2;2;3;4;2;2;1;7;3;7;3;4;3;3;3;2;0;3;2;2;4;3;2;3;0;2;3;2;3;2;2;1;1;2;0;0;3;1;0;0;1;2;2;0
memori;1;1;1;1;0;0;1;0;0;0;0;1;1;5;4;2;2;8;3;4;10;6;7;7;6;8;3;5;2;4;1;7;4;3;5;5;6;2;5;1;6;0;2;2;3;1;1;4;3;0;0;0;1;3;2;2;1
consequ;2;0;2;3;0;2;2;4;4;6;8;2;0;2;6;1;1;2;1;2;3;3;1;3;2;3;2;2;7;5;3;1;3;4;1;4;6;4;4;2;4;2;3;5;3;2;4;7;4;4;3;2;1;1;1;1;2
interact;4;4;1;3;2;0;2;5;6;9;3;6;4;2;3;2;3;4;5;6;4;9;2;4;4;4;1;2;1;2;0;1;3;2;2;2;2;2;5;2;3;2;1;3;6;3;4;2;0;2;0;1;0;0;2;3;0
belief;5;3;3;3;2;7;5;3;4;2;11;5;0;0;1;3;4;4;6;2;2;6;1;3;0;4;2;4;0;3;1;3;2;2;4;3;2;0;2;0;0;4;2;0;3;3;5;4;1;4;1;3;3;1;1;3;5
bia;3;2;2;0;1;1;2;0;1;1;2;2;2;4;4;3;1;1;6;2;1;0;1;4;4;2;0;0;2;3;3;4;1;5;6;3;4;5;5;4;2;6;7;5;2;1;3;6;3;2;3;2;1;6;4;7;2
women;0;3;2;0;0;0;1;0;2;1;1;2;0;2;1;2;5;1;5;6;8;8;6;6;4;4;6;2;2;4;3;2;5;4;5;2;2;1;4;2;2;2;3;2;0;2;4;6;4;2;1;4;1;4;2;5;0
neg;4;2;2;3;0;2;1;0;0;3;2;2;1;2;3;2;2;2;2;1;5;1;3;4;8;3;5;7;8;3;8;4;2;3;1;4;2;3;0;1;2;3;2;2;1;4;2;2;1;5;4;1;1;5;4;5;2
sex;7;4;4;4;3;1;6;3;6;5;9;5;3;4;3;6;4;9;5;5;8;5;4;4;2;3;1;0;0;0;1;2;0;1;2;4;1;0;1;2;0;3;0;0;0;2;1;6;0;1;0;0;0;2;0;1;1
statu;2;4;7;0;1;1;1;1;6;2;1;1;0;0;2;1;2;3;2;3;2;8;1;0;3;1;0;2;2;2;4;2;0;3;2;0;4;5;2;0;2;6;0;1;5;3;3;4;3;1;4;3;3;5;10;12;2
similar;2;6;5;2;1;1;9;5;5;3;5;5;2;2;4;3;2;2;3;3;2;5;2;4;1;3;1;2;1;1;5;1;2;4;1;1;0;2;4;1;1;3;1;1;5;4;3;1;0;2;1;1;1;3;2;6;0
individu differ;1;3;1;0;0;1;1;1;2;1;2;1;0;0;2;2;4;5;6;3;7;8;3;5;0;8;3;4;4;6;4;4;3;9;6;3;1;0;4;1;1;0;2;2;1;2;1;2;0;2;1;4;0;2;3;4;1
factor;6;2;4;1;4;4;4;2;6;5;5;5;0;3;2;2;4;1;2;4;4;2;7;7;4;2;3;3;1;4;4;2;2;7;2;1;2;1;1;1;0;3;0;1;1;2;2;3;2;0;0;1;1;0;2;1;0
prefer;5;2;4;4;5;4;3;2;4;1;6;4;1;1;2;1;2;2;3;3;3;3;2;5;1;0;3;1;1;3;4;0;1;3;2;1;1;2;3;2;0;2;1;5;3;2;5;3;3;3;2;2;0;4;4;2;2
impact;1;0;0;0;0;1;0;0;0;2;1;2;3;0;0;6;1;4;3;8;4;3;4;2;4;6;2;3;1;2;2;7;5;5;3;7;2;3;2;4;3;0;4;4;4;3;1;1;3;2;2;3;2;2;3;1;1
activ;1;2;2;1;3;1;1;2;2;0;2;4;0;1;1;0;2;2;1;0;1;5;5;3;1;2;2;4;3;5;5;3;1;5;7;5;7;5;8;3;2;1;1;4;3;3;0;4;1;1;6;0;0;1;3;3;0
develop;1;2;5;1;1;1;1;4;1;3;2;3;0;4;0;1;2;4;5;5;7;4;4;1;2;1;4;3;0;2;1;2;4;2;4;3;2;5;1;2;2;0;0;1;0;1;3;3;1;0;3;2;5;6;7;7;0
anxieti;10;4;7;3;2;4;3;5;5;5;1;2;0;0;1;2;3;2;7;4;6;4;1;2;3;3;4;4;1;1;0;2;3;0;4;4;0;2;0;0;1;0;2;4;0;1;2;2;0;7;0;0;0;3;1;3;0
time;7;3;2;5;1;3;0;2;3;1;8;2;1;1;4;3;1;3;2;1;7;3;0;10;1;1;2;1;3;4;2;2;3;0;5;2;3;2;5;1;1;4;2;1;0;1;5;0;0;1;4;3;2;2;0;2;1
differenti;9;5;2;2;2;4;4;2;3;2;5;4;0;1;1;0;3;2;1;1;4;5;2;1;1;1;4;3;3;3;5;3;3;7;2;0;3;3;2;1;1;3;0;4;2;0;7;3;0;1;0;1;2;3;1;2;0
threat;2;3;0;4;4;2;4;3;6;5;5;3;1;1;3;0;2;1;0;2;1;2;4;1;1;1;5;2;3;2;0;3;2;0;3;1;3;2;1;1;3;3;6;5;4;6;2;3;4;2;1;0;3;2;3;2;1
gender;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;7;5;4;5;5;4;4;3;6;4;5;4;6;3;4;6;1;1;3;0;1;4;2;3;2;4;1;3;2;3;4;3;2;1;5;4;3;3;2;1
task;10;7;4;6;1;4;7;1;2;7;11;3;0;1;3;4;3;3;3;5;5;4;4;2;2;3;0;4;3;3;1;5;0;0;2;2;0;1;1;1;0;1;2;1;2;0;0;1;0;0;0;1;0;1;1;0;0
cope;1;0;2;0;0;1;0;2;1;3;0;5;1;0;0;1;1;2;2;7;3;5;5;5;7;14;7;6;5;7;3;1;4;9;6;4;1;4;3;3;1;0;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0
