agronomo;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
aiutante;military rank;0;0;0;0;2;0;1;0;0;0;6;0;0;1;0;1;0;0;3;1;2;0;1;7;0;0;0;5;0;17;0;1;5;3;3;0;2;1;1;0;1;1;1;2;0;7;1;2;4;3;0;0;0;2;5;1;2;0;5;1;1;3;8;0;25;2;2;0;11;0;6;0;0;9;2;2;0;3;1;1;1;6;0;0;1;0;0;1;1;6;0;56;3;0;3;2;1;0;0;10
aiutante_di_campo;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;0;0;0;2;0;3;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;0;5;0;16;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;7;1;0;1;0;0;0;0;3
aiutante_maggiore;military rank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;2
alano;profession;0;0;0;0;0;0;1;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
albergatore;profession;0;0;1;0;1;0;2;0;2;3;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;6;3;0;0;0;0;0;1;1;5;0;3;1;7;0;2;1;3;10;0;0;5;1;0;3;3;1;4;0;4;11;7;0;1;2;1;8;1;0;0;0;0;3;5;3;0;0;1;2;0;0;0;2;15;1;0;0;5;0;5;1;0;3;1;1;0;0;0;2;2;4;3
albergo;commercial (place);1;7;6;2;5;0;6;8;6;23;1;3;7;0;7;0;0;0;17;0;6;17;3;3;10;19;3;11;45;31;29;7;2;5;17;14;13;25;17;23;26;124;7;27;19;17;98;12;14;28;38;8;30;47;55;56;31;61;76;32;41;6;79;46;41;26;26;51;61;19;73;19;45;21;21;50;41;17;23;48;30;38;71;26;28;16;27;79;36;20;42;17;47;12;33;31;64;78;86;69
alchimista;profession;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;21;6;0;2;0;0;0;0;3;15;0;3;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;5;1;1;0;3;2;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
alfiere;military rank;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;4;0;2;0;0;0;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0
algebrista;profession;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
