Lemma;Categoria;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;Totale
cantina;industrial (place);0;0;0;5;6;3;4;6;1;8;2;0;5;1;4;0;4;1;0;2;4;4;6;5;0;9;0;2;0;1;6;3;4;6;4;19;13;2;4;5;5;10;6;1;5;12;0;0;6;8;2;7;13;5;8;16;6;2;9;3;3;9;0;8;5;7;4;1;4;10;2;9;5;3;2;20;1;5;7;12;8;2;7;7;4;0;1;4;5;1;0;4;5;8;1;6;5;6;2;1;3;470
capanna;rural (place);9;0;27;8;17;0;5;1;12;7;1;15;4;2;3;0;49;6;2;3;1;1;18;3;16;23;1;5;12;9;3;36;29;3;9;12;34;8;32;24;16;9;11;10;1;10;24;48;0;6;2;16;8;14;9;13;9;2;13;19;35;0;4;19;3;0;39;11;30;15;8;0;13;20;2;23;20;13;14;19;23;25;2;9;1;1;1;6;19;10;3;6;12;17;3;8;11;3;0;0;1;1139
capanno;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;6;1;0;4;0;0;0;4;2;0;13;0;0;0;0;6;4;1;0;1;0;0;3;2;2;0;0;0;67
capannone;industrial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;3;18
capitaneria;military (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;5
cappella;religious (place);9;6;7;3;2;0;5;10;18;4;0;73;19;5;2;7;0;18;0;1;3;11;1;8;9;113;25;14;7;22;10;1;7;18;23;19;12;11;2;12;24;2;15;1;0;10;31;5;9;6;5;4;4;30;9;21;8;7;18;56;4;63;4;4;12;5;8;3;3;20;18;37;1;4;8;12;4;0;22;33;1;6;3;4;15;1;7;7;1;2;2;0;11;11;4;6;3;5;1;1;3;1141
cappelletta;religious (place);1;0;3;4;2;0;0;0;4;1;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;4;0;5;4;0;1;3;2;0;3;0;1;5;0;0;0;3;2;0;0;8;3;0;2;2;0;4;1;3;1;6;2;0;2;1;2;2;1;0;0;3;0;2;0;3;1;5;1;1;0;2;0;1;3;2;6;2;0;0;1;0;0;0;0;1;0;0;0;5;0;0;0;1;0;0;0;132
caprile;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3
carcere;public (place);22;4;94;20;6;0;5;5;51;21;3;32;26;40;3;29;3;9;43;20;14;7;6;21;5;57;33;21;16;17;45;16;12;19;38;28;52;37;12;75;17;9;9;7;10;9;13;9;3;6;6;18;14;25;36;3;19;12;3;21;5;51;13;55;18;15;2;6;0;19;5;49;12;1;10;28;12;11;11;18;10;5;7;24;8;5;7;3;10;5;4;0;8;46;5;6;9;30;0;3;6;1758
cartoleria;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;6
casa_cantoniera;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
casa_chiusa;commercial (place);1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;12
casa_colonica;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;2;0;0;2;0;0;0;1;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;1;1;2;0;2;3;1;0;1;0;2;0;0;0;0;1;0;0;3;0;0;0;0;0;2;0;1;0;0;0;2;0;0;1;0;0;0;1;0;0;1;1;0;0;1;1;5;0;1;3;52
casa_comunale;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;3;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13
casa_del_popolo;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;13
casa_di_campagna;rural (place);2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;1;0;2;2;0;3;1;0;0;2;0;0;3;0;2;4;1;1;0;2;1;0;1;0;2;0;0;0;1;0;0;0;0;3;0;0;2;1;1;2;4;1;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0;5;1;0;1;0;1;6;1;0;1;1;0;0;2;0;2;2;0;2;2;1;82
casa_di_correzione;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;10
casa_di_cura;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;3;0;0;0;0;0;0;0;0;0;0;0;16;0;26
casa_di_custodia;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
casa_di_pena;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
casa_di_riposo;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
casa_di_salute;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;1;1;2;2;0;1;0;0;0;0;4;0;0;0;2;5;0;4;13;0;1;0;0;6;0;0;3;0;3;1;0;0;1;0;1;0;14;0;0;0;1;0;2;2;75
casa_di_spedizioni;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
casa_di_tolleranza;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
casa_editrice;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;1;0;0;13
casa_galleggiante;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
casa_in_linea;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
casa_lunga;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
casa_mobile;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5
casa_parrocchiale;religious (place);0;0;0;1;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;6;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
casa_popolare;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3
casa_raggruppata;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2
casa_romana;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
casa_rurale;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
casa_rustica;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;2;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;0;4;27
casa_signorile;civil (place);0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;3;0;0;2;1;1;0;0;0;0;0;2;0;0;1;0;0;0;0;1;0;0;3;1;0;0;0;1;0;2;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;2;0;0;3;0;0;0;44
casale;rural (place);1;0;2;4;4;0;6;3;17;3;0;5;10;5;1;0;0;2;0;4;2;0;0;0;2;5;0;8;7;0;2;6;12;1;1;0;1;3;0;0;1;0;6;0;0;7;3;1;0;5;0;0;1;1;2;1;1;1;0;1;0;0;1;0;0;0;0;0;0;5;0;1;0;0;0;10;0;0;15;0;2;14;1;3;1;0;2;1;0;0;0;1;3;0;0;0;0;1;0;0;0;209
casamatta;military (place);0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;1;0;0;0;0;0;2;3;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;21
casamento;civil (place);0;0;0;2;0;0;0;0;2;1;0;2;0;1;2;0;0;1;0;1;2;1;1;0;0;7;0;3;2;1;1;0;1;0;3;1;0;0;2;0;4;4;0;0;0;1;0;0;0;0;4;0;0;11;1;1;0;0;0;0;0;0;1;1;2;0;0;1;0;6;0;16;6;1;0;2;1;5;0;0;2;0;9;1;0;0;2;3;2;2;1;0;0;3;8;5;4;1;0;2;9;159
cascina;rural (place);1;0;1;1;0;0;1;0;1;3;0;1;23;2;8;0;0;0;0;1;4;18;0;0;1;5;22;11;1;1;0;1;17;8;7;0;2;0;4;2;1;5;8;7;1;14;4;9;26;19;4;9;6;1;10;3;3;2;7;1;87;23;3;9;15;6;0;1;0;20;3;0;1;2;2;4;5;4;0;16;0;2;0;1;5;0;1;7;0;14;1;0;0;2;1;0;1;1;2;2;0;528
caseggiato;civil (place);0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;6;2;0;0;0;0;1;1;0;0;1;6;0;0;0;4;0;0;1;1;1;2;0;0;0;1;4;2;0;1;0;1;1;1;1;0;2;3;0;1;0;0;0;1;1;1;2;0;0;0;1;1;3;0;0;1;1;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;1;1;67
casello;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;3;14
casello_ferroviario;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;3
caserella;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
caserma;military (place);1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;6;2;3;0;12;0;0;3;0;0;0;0;1;1;11;2;5;23;0;4;58;9;10;1;3;1;1;4;0;2;2;1;14;1;3;4;2;1;0;1;3;2;1;0;2;0;1;3;0;2;5;1;3;3;3;2;1;16;4;12;2;0;2;2;6;3;5;1;1;7;2;11;2;7;1;7;2;3;4;1;0;45;374
casermone;civil (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
casetta;civil (place);0;0;1;7;6;0;4;2;4;28;0;5;7;1;1;0;1;0;0;1;3;0;5;18;0;6;3;9;9;2;5;5;21;1;7;8;32;18;4;5;3;20;14;3;3;36;34;37;2;8;4;9;10;8;4;37;23;2;12;7;12;16;16;21;8;6;23;6;6;8;2;12;11;11;3;19;14;32;5;18;34;15;1;7;7;4;18;6;14;12;4;8;17;32;2;9;9;17;6;11;2;989
casina;commercial (place);0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;7;3;0;2;0;0;4;20;0;16;0;0;20;1;2;1;0;2;1;2;0;1;1;1;3;9;0;8;4;3;2;0;3;0;0;4;0;1;2;0;0;2;0;5;20;0;1;0;0;0;0;0;8;2;0;0;1;0;0;0;7;5;0;0;4;0;0;0;2;6;1;0;0;194
casino;civil (place);7;0;7;0;0;0;1;2;3;0;0;8;2;0;37;0;1;1;0;0;0;3;52;9;8;9;16;3;5;0;1;1;6;4;4;5;0;0;3;2;5;0;12;1;7;14;6;13;1;1;0;0;0;1;0;6;2;8;7;2;1;1;8;8;0;0;2;1;1;4;0;24;2;0;2;0;0;4;1;0;0;24;1;2;3;2;3;0;4;1;3;1;1;2;0;0;0;1;0;2;0;395
casolare;rural (place);7;0;7;0;3;1;3;0;17;13;2;3;17;2;2;0;1;10;0;0;2;1;2;3;5;2;3;14;3;2;2;11;7;0;1;8;1;3;8;1;4;4;13;3;2;4;7;4;0;11;5;8;3;10;9;1;13;1;12;13;0;6;5;13;5;0;2;2;0;3;5;0;2;5;1;21;0;0;8;5;7;7;0;2;0;0;0;1;6;2;2;2;4;1;2;6;4;1;0;1;12;437
casone;civil (place);0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;7;1;0;1;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;4;1;0;33
casotto;civil (place);1;0;1;0;0;0;0;0;2;2;1;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0;1;0;5;0;0;3;1;2;1;8;8;1;2;1;2;0;1;0;2;3;4;0;1;8;4;0;0;2;2;1;0;0;0;0;0;2;2;0;0;3;2;0;0;0;0;5;0;3;0;0;4;0;4;0;0;0;0;0;108
cassa_di_risparmio;commercial (place);0;0;0;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;3;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;9;5;13;0;1;0;0;1;1;1;1;1;0;1;1;2;1;1;0;0;4;0;0;0;3;1;0;0;0;0;0;1;1;0;2;0;0;1;0;0;2;2;1;1;0;1;0;4;0;1;1;3;1;1;0;0;0;0;0;0;83
castellaro;military (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
castello;civil (place);133;76;104;145;133;2;97;115;290;36;16;75;38;23;67;26;2;65;8;41;14;8;6;134;96;239;75;144;96;20;36;64;169;101;162;68;63;10;22;73;166;10;154;15;19;112;124;136;86;36;5;65;12;11;16;24;42;18;9;90;37;5;22;102;18;49;27;3;36;55;99;42;25;9;38;89;100;16;130;12;73;60;70;13;29;12;41;34;29;6;41;2;72;130;3;39;17;39;1;17;44;5928
casupola;civil (place);0;0;4;0;1;0;0;6;1;4;0;0;1;0;1;0;0;15;0;0;0;0;0;0;6;0;1;2;2;0;0;8;6;0;1;0;0;3;0;0;0;0;5;2;1;3;2;13;5;1;0;12;0;9;15;4;4;0;5;2;0;10;2;5;4;2;0;1;1;1;0;6;0;1;1;3;6;0;0;3;18;7;2;6;1;0;2;5;6;0;3;2;0;2;1;3;6;4;0;2;7;268
catacomba;religious (place);0;0;1;0;0;0;0;0;3;4;0;0;0;0;0;0;0;9;0;0;0;0;0;0;2;1;0;1;0;0;1;0;0;0;4;1;0;0;0;0;14;0;0;0;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;0;1;2;0;1;0;1;0;11;0;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;75
catapecchia;civil (place);0;0;4;0;0;0;0;0;2;1;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;1;0;0;1;4;0;3;1;1;0;0;3;1;0;1;2;0;7;1;0;0;2;0;5;1;9;4;0;4;0;5;0;0;0;2;0;2;0;0;1;1;2;0;3;0;0;0;2;0;4;1;0;0;0;0;2;1;0;0;0;0;0;0;1;1;0;2;0;2;4;0;1;0;105
cattedrale;religious (place);2;3;3;1;0;0;4;3;8;2;0;4;12;6;0;0;0;3;0;3;2;0;6;1;0;5;4;4;3;0;0;2;2;4;7;20;0;0;0;1;18;2;4;0;5;1;2;4;0;0;3;2;1;2;7;2;10;1;1;5;1;7;1;8;1;2;0;3;1;5;1;2;1;2;2;0;2;1;5;8;3;1;2;6;8;0;14;10;0;4;2;1;8;16;1;0;5;5;1;2;3;330
cenobio;religious (place);0;0;0;0;0;0;19;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;3;0;14;4;2;1;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;60
certosa;religious (place);0;2;1;0;0;0;1;3;7;0;0;1;0;0;10;0;0;4;0;0;0;0;0;0;1;3;6;2;0;0;0;0;2;0;0;5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;0;6;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;0;1;1;72
chalet;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;38;3;17;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;73
chiesa;religious (place);66;24;90;76;82;25;143;99;258;119;44;329;181;80;61;77;10;200;17;42;55;86;71;129;244;407;114;174;264;63;286;56;230;148;377;126;149;156;66;155;172;94;272;94;53;266;159;194;55;104;44;246;104;178;157;270;108;101;181;253;266;275;136;339;232;154;296;119;289;151;153;335;117;82;207;298;233;87;130;272;197;215;107;165;128;147;66;161;61;145;77;162;180;247;68;97;75;210;27;118;181;15489
