Lemma;Categoria;1830;1831;1832;1833;1834;1835;1836;1837;1838;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848;1849;1850;1851;1852;1853;1854;1855;1856;1857;1858;1859;1860;1861;1862;1863;1864;1865;1866;1867;1868;1869;1870;1871;1872;1873;1874;1875;1876;1877;1878;1879;1880;1881;1882;1883;1884;1885;1886;1887;1888;1889;1890;1891;1892;1893;1894;1895;1896;1897;1898;1899;1900;1901;1902;1903;1904;1905;1906;1907;1908;1909;1910;1911;1912;1913;1914;1915;1916;1917;1918;1919;1920;1921;1922;1923;1924;1925;1926;1927;1928;1929;1930;Totale
ambulatorio;public (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;9
anfiteatro;public (place);1;0;2;10;0;0;0;4;2;3;0;9;2;3;3;1;1;7;0;0;0;0;1;0;1;0;0;0;2;14;1;3;1;2;3;8;12;2;1;1;4;0;2;0;4;2;2;1;0;0;3;2;0;0;6;4;2;2;2;4;2;1;0;3;2;3;0;2;0;0;2;0;3;4;3;1;6;0;2;0;3;0;3;0;7;1;1;0;0;1;1;0;2;0;0;0;0;0;2;0;2;197
apiario;rural (place);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
appartamento;civil (place);13;2;6;2;0;0;11;16;15;5;4;2;6;12;29;14;12;5;1;2;18;2;19;12;0;24;3;18;24;10;11;3;27;9;8;12;7;10;26;28;7;9;29;13;27;1;7;52;24;6;12;48;7;5;27;7;11;5;6;28;19;41;2;10;25;16;18;4;9;13;14;48;43;11;15;36;15;24;43;43;13;41;24;14;3;30;18;13;4;11;12;8;3;14;7;6;15;12;8;13;20;1497
archivio;public (place);1;0;0;3;0;1;1;0;3;1;0;7;3;1;0;2;0;2;1;3;0;4;0;1;3;23;3;1;0;2;0;1;3;2;3;1;1;1;2;0;1;7;4;2;0;0;4;0;1;2;1;1;1;1;2;9;6;3;3;2;0;2;0;5;2;1;0;0;3;3;3;2;0;0;3;1;3;2;1;9;3;1;2;2;1;0;1;0;2;0;0;0;3;7;0;6;0;3;0;0;0;201
arena;public (place);14;0;4;22;9;0;5;7;5;3;0;8;2;4;2;5;0;7;0;2;2;4;0;0;1;3;10;1;4;11;5;1;7;4;9;9;6;2;7;4;4;1;0;6;7;6;3;3;2;0;0;0;3;14;1;4;3;4;1;5;9;4;0;8;0;7;1;1;1;0;8;12;4;4;2;0;1;17;5;0;0;4;1;4;10;0;1;1;0;2;0;1;11;1;2;2;1;2;0;5;1;389
armeria;military (place);1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;22
arsenale;military (place);1;0;0;1;1;0;1;0;1;0;0;0;3;5;5;0;1;2;0;3;2;2;0;5;0;0;2;0;1;4;3;0;5;2;1;7;2;0;0;3;2;4;2;3;2;4;0;0;0;0;0;5;0;1;1;0;0;2;0;0;0;3;0;0;0;0;2;9;9;10;0;3;1;1;3;0;2;0;0;0;0;0;0;3;1;0;1;0;1;0;0;0;2;0;0;0;1;6;1;0;0;148
asilo;public (place);10;3;7;8;2;0;7;11;11;18;0;27;15;9;4;5;5;10;6;2;9;8;0;15;0;9;8;10;5;20;1;2;7;6;12;14;25;13;4;23;9;6;3;2;3;11;19;5;9;3;1;2;4;3;6;5;4;5;11;2;3;8;5;19;8;6;0;1;0;3;7;8;6;3;4;8;10;4;0;13;8;8;4;4;2;0;8;8;2;6;2;1;3;8;0;2;2;3;0;4;1;656
asilo_infantile;public (place);0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;2;1;0;0;2;1;0;0;3;2;3;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;29
